;Family Groups;;Workforce
;Name;;
1;At Home Coffee K-Cup Pod Coffee;;WHOLE BEAN
2;At Home Coffee Miscellaneous Pod Coffee;;WHOLE BEAN
3;At Home Coffee Packaged Coffee;;WHOLE BEAN
4;At Home Coffee Verismo Pod Coffee;;WHOLE BEAN
5;At Home Coffee VIA Instant Coffee;;WHOLE BEAN
6;At Home Refresher VIA Instant Refresher;;WHOLE BEAN
7;At Home Tea Packaged Tea;;RETAIL TEA (NEW)
8;Alcohol Beer;;N/A
9;Alcohol Liqueur;;N/A
10;Alcohol Liquor;;N/A
11;Alcohol Wine;;N/A
12;Cocktail Classic Cocktail;;N/A
13;Cocktail Cold Brew Cocktail;;N/A
14;Cocktail Espresso Cocktail;;N/A
15;Cocoa Hot Chocolate;;OTHER BEVERAGES
16;Coffee Brewed Coffee;;BREWED COFFEE (NEW)
17;Coffee Cold Brew;;BREWED COFFEE (NEW)
18;Coffee Iced Coffee;;BREWED COFFEE (NEW)
19;Espresso Americano;;ESPRESSO BEVERAGES
20;Espresso Blended Espresso;;ESPRESSO BEVERAGES
21;Espresso Cappuccino;;ESPRESSO BEVERAGES
22;Espresso Cortado;;ESPRESSO BEVERAGES
23;Espresso Espresso Shot;;ESPRESSO BEVERAGES
24;Espresso Flat White;;ESPRESSO BEVERAGES
25;Espresso Iced Sweetened Espresso;;ESPRESSO BEVERAGES
26;Espresso Latte;;ESPRESSO BEVERAGES
27;Espresso Macchiato;;ESPRESSO BEVERAGES
28;Espresso Mocha;;ESPRESSO BEVERAGES
29;Frappuccino Blended Espresso;;BLENDED BEVERAGES
30;Frappuccino Coffee Frappuccino;;BLENDED BEVERAGES
31;Frappuccino Creme Frappuccino;;BLENDED BEVERAGES
32;Frappuccino Juice Frappuccino;;BLENDED BEVERAGES
33;Milk Beverage Crème;;OTHER BEVERAGES
34;Milk Beverage Ice Cream;;OTHER BEVERAGES
35;Milk Beverage Milk;;OTHER BEVERAGES
36;Milk Beverage Smoothie;;OTHER BEVERAGES
37;Ready-to-Drink Coffee;;OTHER RETAIL
38;Ready-to-Drink Dairy;;OTHER RETAIL
39;Ready-to-Drink Espresso;;OTHER RETAIL
40;Ready-to-Drink Frappuccino;;OTHER RETAIL
41;Ready-to-Drink Juice;;OTHER RETAIL
42;Ready-to-Drink Refreshers;;OTHER RETAIL
43;Ready-to-Drink Soda;;OTHER RETAIL
44;Ready-to-Drink Tea;;OTHER RETAIL
45;Ready-to-Drink Water;;OTHER RETAIL
46;Refreshment Handcrafted Soda;;REFRESHERS (NEW)
47;Refreshment Juice;;REFRESHERS (NEW)
48;Refreshment Refreshers;;REFRESHERS (NEW)
49;Refreshment Water;;REFRESHERS (NEW)
50;Tea Blended Tea;;TEA (NEW)
51;Tea Iced Tea;;TEA (NEW)
52;Tea Steeped Tea;;TEA (NEW)
53;Tea Latte;;TEA (NEW)
54;Bakery Bagel;;FOOD
55;Bakery Bar;;FOOD
56;Bakery Bread;;FOOD
57;Bakery Cake;;FOOD
58;Bakery Cake Pop;;FOOD
59;Bakery Choux Pastry;;FOOD
60;Bakery Cookie;;FOOD
61;Bakery Doughnut;;FOOD
62;Bakery Laminated Pastry;;FOOD
63;Bakery Muffin;;FOOD
64;Bakery Pie;;FOOD
65;Bakery Pretzel;;FOOD
66;Bakery Scone;;FOOD
67;Bakery Snack Pretzel;;FOOD
68;Bakery Tart;;FOOD
69;Breakfast Sandwich;;FOOD
70;Breakfast Cereal;;FOOD
71;Breakfast Egg;;FOOD
72;Breakfast Fresh Fruit;;FOOD
73;Breakfast Griddle;;FOOD
74;Breakfast Yogurt;;FOOD
75;Lunch Flatbread;;FOOD
76;Lunch Food Add-in;;FOOD
77;Lunch Bowl;;FOOD
78;Lunch Bundle;;FOOD
79;Lunch Pasta;;FOOD
80;Lunch Protein Box;;FOOD
81;Lunch Salad;;FOOD
82;Lunch Sandwich;;FOOD
83;Lunch Small Plate;;FOOD
84;Lunch Soup;;FOOD
85;Lunch Wrap;;FOOD
86;Snack Candy;;PACKAGED FOOD
87;Snack Cheese;;PACKAGED FOOD
88;Snack Chips;;PACKAGED FOOD
89;Snack Chocolate;;PACKAGED FOOD
90;Snack Dip;;PACKAGED FOOD
91;Snack Dried Fruit;;PACKAGED FOOD
92;Snack Gum;;PACKAGED FOOD
93;Snack Ice Cream;;PACKAGED FOOD
94;Snack Meat;;PACKAGED FOOD
95;Snack Mints;;PACKAGED FOOD
96;Snack Nut;;PACKAGED FOOD
97;Snack Olive;;PACKAGED FOOD
98;Snack Popcorn;;PACKAGED FOOD
99;Snack Pudding;;PACKAGED FOOD
100;Snack Small Plate;;PACKAGED FOOD
101;Snack Bar;;PACKAGED FOOD
102;Snack Mix;;PACKAGED FOOD
103;Snack Pretzel;;PACKAGED FOOD
104;Brewing Accessory;;BREWING EQUIPMENT
105;Brewing Coffee Brewing;;BREWING EQUIPMENT
106;Brewing Kettle;;BREWING EQUIPMENT
107;Brewing Single Serve Brewing;;BREWING EQUIPMENT
108;Brewing Tea Brewing;;BREWING EQUIPMENT
109;Gift Pack Merchandise Pairing;;OTHER RETAIL
110;Lifestyle Apparel;;OTHER RETAIL
111;Lifestyle Art;;OTHER RETAIL
112;Lifestyle Consumer Electronic;;OTHER RETAIL
113;Lifestyle Cup;;OTHER RETAIL
114;Lifestyle Event;;OTHER RETAIL
115;Lifestyle Homeware;;OTHER RETAIL
116;Lifestyle Novelty;;OTHER RETAIL
117;Lifestyle Personal Accessory;;OTHER RETAIL
118;Lifestyle Stationery;;OTHER RETAIL
119;Lifestyle Toy & Game;;OTHER RETAIL
120;Media Book;;OTHER RETAIL
121;Media Magazine;;OTHER RETAIL
122;Media Music;;OTHER RETAIL
123;Media Newspaper;;OTHER RETAIL
124;Serveware Bottle;;SERVEWARE
125;Serveware Cup;;SERVEWARE
126;Serveware Drinkware Accesory;;SERVEWARE
127;Serveware Drinkware Accessory;;SERVEWARE
128;Serveware Kitchen Serving;;SERVEWARE
129;Serveware Storage;;SERVEWARE
130;Serveware Tumbler;;SERVEWARE
131;Bread Option;;MODIFIERS
132;Coffee Option;;MODIFIERS
133;Confection Jelly Option;;MODIFIERS
134;Confection Sweet Add-On Option;;MODIFIERS
135;Confection Sweet Powder Option;;MODIFIERS
136;Confection Sweet Sauce Option;;MODIFIERS
137;Confection Sweet Topping Option;;MODIFIERS
138;Confection Sweetener Option;;MODIFIERS
139;Confection Syrup Option;;MODIFIERS
140;Dairy Cheese Option;;MODIFIERS
141;Dairy Cold Foam Option;;MODIFIERS
142;Dairy Spread Option;;MODIFIERS
143;Dairy Ice Cream Option;;MODIFIERS
144;Dairy Milk Option;;MODIFIERS
145;Dairy Whipped Cream Option;;MODIFIERS
146;Dairy Yogurt Option;;MODIFIERS
147;Egg Option;;MODIFIERS
148;Espresso Base Option;;MODIFIERS
149;Espresso Caffeine Option;;MODIFIERS
150;Espresso Shot Option;;MODIFIERS
151;Espresso Shot Preparation Option;;MODIFIERS
152;Espresso Frappuccino Roast Option;;MODIFIERS
153;Fruit (blank);;MODIFIERS
154;Fruit Dried Fruit Option;;MODIFIERS
155;Fruit Fresh Fruit Option;;MODIFIERS
156;Fruit Spread Option;;MODIFIERS
157;Fruit Juice Option;;MODIFIERS
158;Fruit Puree Option;;MODIFIERS
159;Grain Cereal Option;;MODIFIERS
160;Grain Option;;MODIFIERS
161;Grain Noodle Option;;MODIFIERS
162;Legume Option;;MODIFIERS
163;Legume Spread Option;;MODIFIERS
164;Meat Chicken Option;;MODIFIERS
165;Meat Fish Option;;MODIFIERS
166;Meat Option;;MODIFIERS
167;Meat Pork Option;;MODIFIERS
168;Nut Option;;MODIFIERS
169;Nut Spread Option;;MODIFIERS
170;Nut Seed Option;;MODIFIERS
171;Preparation Brew Method Option;;MODIFIERS
172;Preparation Espresso Shot Preparation Option;;MODIFIERS
173;Preparation Method Option;;MODIFIERS
174;Preparation Serveware Option;;MODIFIERS
175;Preparation Serving Option;;MODIFIERS
176;Preparation Temperature Option;;MODIFIERS
177;Seasoning Condiment Sauce Option;;MODIFIERS
178;Seasoning Dressing Option;;MODIFIERS
179;Seasoning Herb Option;;MODIFIERS
180;Seasoning Spice Option;;MODIFIERS
181;Tea Iced Tea Option;;MODIFIERS
182;Tea Infusion Option;;MODIFIERS
183;Tea Concentrate Option;;MODIFIERS
184;Tea Powder Option;;MODIFIERS
185;Tea Sachet Option;;MODIFIERS
186;Vegetable Greens Option;;MODIFIERS
187;Vegetable Option;;MODIFIERS
188;Vegetable Soup Option;;MODIFIERS
189;Water Flavored Water Option;;MODIFIERS
190;Water Ice Option;;MODIFIERS
191;Water Option;;MODIFIERS
